State,Confirmed,Active,Delta_Confirmed
Andaman and Nicobar Islands,52,19,0
Andhra Pradesh,120390,63771,10093
Arunachal Pradesh,1410,730,80
Assam,33003,12168,475
Bihar,45919,15141,2328
Chandigarh,978,353,44
Chhattisgarh,8600,2914,314
Dadra and Nagar Haveli,481,199,19
Daman and Diu,587,189,19
Delhi,788,787,0
Goa,3117,1666,38
Gujarat,59126,13437,1144
Haryana,33631,6798,755
Himachal Pradesh,2403,1043,73
Jammu and Kashmir,19419,7749,540
Jharkhand,9894,5734,331
Karnataka,112504,67447,5503
Kerala,21798,10350,903
Lakshadweep,0,0,0
Madhya Pradesh,30134,8356,917
Maharashtra,400651,146129,9211
Manipur,2431,2037,141
Meghalaya,784,583,5
Mizoram,395,180,11
Nagaland,1513,913,53
Odisha,29175,10041,1068
Puducherry,3177,1256,166
Punjab,14946,4372,568
Rajasthan,39780,10817,1144
Sikkim,596,397,27
Tamil Nadu,234114,57490,6426
Telangana,58449,57868,1764
Tripura,4287,1627,0
Uttar Pradesh,77334,29997,3383
Uttarakhand,6866,2945,279
West Bengal,65258,19652,2294
